公車名稱,站牌名稱
223,慈后宮
223,清江里
223,中央南路
223,第一銀行
223,秀山里
223,貴子坑水土保持園區
223,致遠新村
223,稻香圖書館
223,製片廠
223,捷運復興崗站
223,中央北路三段
223,關渡
223,關渡里
223,關渡國中(關渡醫院)
223,敬老院
223,關渡宮
224,捷運石牌站(東華)
224,綜合市場(捷運石牌站)
224,永明派出所
224,榮總
224,榮光新村(榮總東院)
224,永欣里
224,福德廟(石牌)
224,天北站
225,民生國中
225,新東街口
225,民生社區活動中心
225,聯合二村
225,介壽國中
225,公教住宅
225,富錦街口
225,松山機場
225,民權中山路口
225,民和公寓
225,溪墘
225,蘆洲派出所
225,蘆洲監理站(中正路)
225,蘆洲國小
225,長榮光明路口
225,長榮中原路口
225,中原公園
225,柳堤公園
225,忠義國小
225,蘆洲總站
225區,松山機場
225區,民權敦化路口
225區,民權復興路口
225區,民權龍江路口
225區,民權建國路口
225區,民權松江路口
225區,民權吉林路口
225區,捷運中山國小站
225區,中原公寓
225區,空中大學(中正路)
225區,王爺廟口
225區,蘆洲總站
225區,捷運蘆洲站
225區,長榮路
225區,永平市場
226,松仁路
226,吳興國小(松仁)
226,信義國中(莊敬)
226,臺北醫學大學
226,景新里
226,世貿中心(莊敬)
226,信義光復路口
226,信義通化街口
226,新生南路口
226,長生街口
226,三和長榮路口
226,三重國小
226,捷運三重國小站
226,德林寺(龍門路)
226,仁愛街口
226,仁興街口
226,分子尾
227,823紀念公園
227,永安市場
227,自強街口
227,樂華夜市
227,捷運頂溪站
227,中正橋頭
227,重慶南路三段(中正橋)
227,寧波重慶路口
227,華泰飯店
227,聚盛里
227,新興國中
227,民權中山路口
227,捷運民權西路站
227,民權大龍街口
227,三重派出所(重新路)
227,三重稅捐分處
227,三民街
227,東海中學
227,忠孝三民街口
227,三重商工(中正北路)
227,博愛新村
227,仙公廟
227區,新興國中(新生)
227區,聚盛里
227區,新興國中
227區,民權中山路口
227區,捷運民權西路站
227區,民權大龍街口
227區,三重派出所(重新路)
227區,捷運台北橋站
227區,集美街口
227區,重新大橋
227區,福祉里(宏仁醫院)
227區,捷運三重站
227區,菜寮(重陽路)
227區,三重稅捐分處
227區,三民街
230,教師中心
230,紗帽陽明路口
230,新薈芳
230,第一展望
230,頂半嶺
230,紗帽山登山口(紗帽)
230,大埔(明玄宮)
230,大埔一
230,北投文物館
230,東昇路口
230,上北投
230,八勝園
230,郵政訓練所
230,源之鄉
230,雅敘園
231,中華路北站
231,捷運西門站
231,小南門
231,龍山國中
231,捷運龍山寺站
231,中國時報
